Title,Location,Company,Job description,Employement Type
Data Scientist,"Calgary, Alberta, Canada",ziing,"Ziing Final Mile Inc. (a wholly owned subsidiary of Ziing Group Inc.) is a disruptor in the logistics space. We don’t operate with a mission. We’re driven by a sense of a purpose. We believe local businesses are the lifeblood of our economy and that a sustainable future is something we can work toward.

We are committed to Environmental, Social and Governance (ESG) practices anchored in data-driven intelligence and have achieved significant year-over-year growth by leveraging a unique service partner model that combines local drivers with industry-leading technology. Our core values of humble, hungry and mindful, collectively drive our out-of-the-box service offerings.

Team

We are looking for a well-rounded Data Scientist with a proven track record of building successful technology products. The ideal candidate will be responsible for contributing to our data science team, driving the development of data-driven products, and identifying new opportunities to leverage data to improve business outcomes.

What you’ll do

Develop & deliver innovative solutions that drive business growth
Collaborate with cross-functional teams to identify and prioritize data-driven product opportunities and develop strategies for data acquisition, modeling, and analysis
Support the design and implementation of data-driven experiments to measure the effectiveness of new features and product enhancements
Contribute to the development of predictive models and machine learning algorithms to improve user engagement, customer retention, and revenue growth
Help identify industry trends and emerging technologies and collaborate with fellow data scientists to identify opportunities for the company to leverage data to gain a competitive advantage
Help to provide regular updates on data-driven insights to paint a picture of product performance

What we’re looking for

Bachelor's or Master's degree in Computer Science, Mathematics, Statistics, or a related field
Minimum 2 years of experience in data science, with a proven track record of supporting the development of technological products in a team setting
Some knowledge of machine learning algorithms, statistical modeling, and data visualization tools is an asset
Experience with programming languages such as Python, R, or SQL
Excellent communication and interpersonal skills, with the ability to effectively communicate complex data-driven insights to both technical and non-technical audiences

We are a Calgary based organization, preference is for candidates based out of Calgary, Edmonton, Vancouver, or Toronto, however, remote candidates based elsewhere in Canada will still be considered. There will be some in-office and travel requirements on an as needed basis.

If you are passionate about data science, have experience as a data scientist working with technology products, and thrive in a fast-paced, dynamic environment, we encourage you to apply for this exciting opportunity.

__________________________________________________________________________

Some of our benefits you can expect

Generous vacation time, personal days and volunteering time.

Extended Health Benefits from your first day.

Hybrid and remote work environment for office based roles.

Training and development opportunities including educational assistance and internal job movement.

Does this role interest you but you don’t check every box?

We value diversity in our teams’ experience. Whatever your background, experience, ethnicity, physical ability, sexual orientation, race, and gender is, we want to hear from you! We are dedicated to fostering an inclusive and diverse environment for all employees. One of our goals is decent work and economic growth. To accomplish this, we know we need to build a diverse team, where everyone feels a sense of belonging and are valued for their contributions and perspectives they bring.

*If you have a disability that requires accommodation during any stage of our recruitment process, please let us know how we can best assist you*
Show less",Full-time
Machine Learning Developer,"Montreal, Quebec, Canada",MindPal,"We are looking for Machine Learning Developer

Job Responsibilities

Working on machine learning projects
Analyzing and processing data to create machine learning models
Implementing and optimizing machine learning algorithms
Testing and evaluating models
Collaborating with the programming team and other departments within the company to develop innovative solutions

Requirements

Minimum 2 years of experience in the field of machine learning
Knowledge of machine learning algorithms and techniques
Ability to analyze and process data
Familiarity with machine learning tools and technologies
Proficient in English communication
Education in computer science

We Offer

B2B contract type
Full-time employment
Remote and flexible working hours
Show less",Full-time
Data Scientist,"Toronto, Ontario, Canada",Focal Systems,"Data Scientist

Fully remote

Who We Are

Focal Systems is the industry leader in retail AI solutions. We are a Silicon Valley based startup, with operations in Canada, that has more than doubled in size every year since inception. Our mission is to automate and optimize brick and mortar retail using deep learning computer vision. We have been deployed at scale with the top retailers in the world. We are looking for smart, creative and passionate people who love to learn, enjoy thinking critically, and want to help build a great and enduring company!

What We Are Looking For

We generate billions of data points every minute that we utilize to help our clients optimize their store operations. As the Data Scientist, you will be responsible for managing our end to end data pipeline from image to insight. Reporting to the CEO and Head of Product, you will work very closely with our Product, Infrastructure and Deep Learning teams.

What You Will Do

Identify data, metrics and analyses needs; Initiate, develop and maintain data pipelines and data models that powers dashboards and data products with outstanding craftsmanship
Synthesize data findings into compelling stories and communicate them throughout Focal Systems
Act as a strategic partner to Head of Product and Focal executives; initiate and execute on data-driven analyses to help prioritize opportunities and provide actionable recommendations
Prototype new analytics & machine learning models that improve both our insights and the product directly
Work to drive new data initiatives, automation of reports, and establish best practices
Work to scale our insights through better systems and automation
Maximize efficiency and productivity through extensive process analysis and interdepartmental collaboration
Design and implement processes and operational procedure around our data pipeline
Analyze and report on performance metrics such as throughput, accuracy and cost for our data operations
Work closely with product & engineering on building out the tools and platforms utilized in our data processing

What You Need To Be Successful

BS and MS / PhD degree mandatory in Engineering, Math or CS, with 3+ years work experience
Deep understanding of statistics
Proven ability to manage complex data analysis
Excellent communication, presentation and demonstration skills
Experience with data analytics/business intelligence tools
Deep experience with SQL; knowledge of Python strongly preferred
Stable job history with a ""go-the-distance"" attitude
Uphold our values & mission
Startup mentality, team player and willing to work 40+ hours a week

Why Focal Systems

Strong Values and Mission: We are a tightly-knit team with an ambitious mission and a strong set of core values, which define our approach to business and have successfully guided us since inception.

Exceptional Team: We are a team of hard-working, fun-loving professionals from some of the most eminent universities, research labs, and tech companies of our time. We pride ourselves on recruiting exceptional individuals to help us redefine the state-of-the-art.

Outstanding Partners: We work with 10+ of the largest retailers in the world and have a world-class roster of investors, advisors and partners to support & advise us in our endeavors.

What We Offer

We care deeply about the health, happiness, and wellbeing of all of our employees. We offer:

Competitive Salary & Attractive Stock
Catered lunches
Paid Time Off
Quarterly Team Retreats
Education grants
Show less",Full-time
Machine Learning Engineer,"Toronto, Ontario, Canada",Boosted.ai,"Boosted.ai is a fintech company headquartered in Toronto, Canada with offices in New York City. We provide AI tools to asset managers to augment their equity capital markets research. Boosted.ai empowers finance professionals to use AI and machine learning to sort through massive amounts of data to find stock opportunities. We are a well funded, post Series-B company - our lead investors are innovators and disruptors in financial and technology markets, including Spark Capital (Twitter, Slack, Affirm), Ten Coves Capital (Plaid, Sentieo, TouchBistro), Portage Ventures (Wealthsimple, Borrowell, Nesto), and RBC (Royal Bank of Canada).

Position Description

We are seeking a talented Machine Learning Engineer to join our team. The successful candidate will be responsible for developing and implementing state-of-the-art machine learning algorithms for our investment management platform. This role requires expertise in machine learning, statistics, and data analysis, as well as a passion for innovation and a desire to drive real-world impact.

Responsibilities

Conduct research in the use of large language models for novel applications
Conduct research in machine learning and statistical modeling, with a focus on developing novel algorithms and methodologies for investment management
Design and implement experiments to evaluate the performance of machine learning models
Collaborate with other members of the research team to develop and refine algorithms and models
Work closely with the engineering team to implement machine learning models in production
Stay up-to-date with the latest developments in machine learning research and apply them to our platform
Communicate research findings and methodologies to both technical and non-technical stakeholders

Requirements

Masters or PhD in computer science, statistics, or a related field, with a focus on machine learning
Proficiency in Python and experience with machine learning libraries such as TensorFlow, PyTorch, or scikit-learn
Strong problem-solving skills and ability to work independently as well as part of a team
Excellent communication and presentation skills, with the ability to explain complex technical concepts to non-technical stakeholders
Experience working in the finance industry or with financial data
Familiarity with natural language processing, time-series analysis, or deep learning techniques
Experience with cloud computing platforms such as AWS, Google Cloud, or Azure

Diverse Perspectives

We know that innovation thrives on product teams where diverse points of view come together to solve hard problems in ways that are just now possible. As such, we explicitly seek people that bring diverse life experiences, diverse educational backgrounds, diverse cultures, and diverse work experiences. Please be prepared to share with us how your perspective will bring something unique and valuable to our product teams.
Show less",Full-time
Machine Learning Developer,"Ottawa, Ontario, Canada",MindPal,"We are looking for Machine Learning Developer

Job Responsibilities

Working on machine learning projects
Analyzing and processing data to create machine learning models
Implementing and optimizing machine learning algorithms
Testing and evaluating models
Collaborating with the programming team and other departments within the company to develop innovative solutions

Requirements

Minimum 2 years of experience in the field of machine learning
Knowledge of machine learning algorithms and techniques
Ability to analyze and process data
Familiarity with machine learning tools and technologies
Proficient in English communication
Education in computer science

We Offer

B2B contract type
Full-time employment
Remote and flexible working hours
Show less",Full-time
Data Scientist,"Québec, Quebec, Canada",Crakmedia,"Crakmedia is hiring a Data Scientist for its Quebec or Montreal, QC location, on a full-time basis, to bolster the existing team.

About The Company

Crakmedia, founded in 2004 by three computer enthusiast roommates, is an international company specializing in web marketing, performance marketing, and web development based in Quebec, QC. Known for its professionalism and human-centered management, they even won the Mercuriades award in 2018!

They operate in over 150 countries and territories, serving various industries by providing services in digital content creation, campaign personalization, data analysis, search engine optimization, media buying, advertising brokerage, and cutting-edge web development technologies.

Thousands of professionals worldwide rely on Crakmedia's expertise and integrity, making it a highly influential marketing network with over 1.5 billion daily views.

Responsibilities

Extract data from various sources (Snowflake tables, APIs, etc.).
Perform Data Wrangling.
Model, automate, analyze, and generate alerts in various contexts as per project needs.
Extract relevant insights from your projects to present them to various stakeholders.
Influence Crak's strategies by identifying good opportunities.
Act as a mentor for other Data Scientists.
Demonstrate autonomy.
Generate innovative ideas and implement them.

If you're also a wizard in reinforcement learning algorithms, know that we have a wealth of data available to showcase your skills and positively impact Crak's performance.

What They Offer

Competitive compensation with a bonus plan tailored to your role.
Minimum of 3 weeks of vacation (or more depending on experience).
3 sick days and 2 mobile days off.
Company-covered insurance, including medical, dental, vision, professional services, life insurance, and more.
Free access to telemedicine services and an employee assistance program available at all times.
Employer contributions to your RRSP of up to 3% of your total compensation after the probation period.
$200 annual monetary incentive for your sporting activities.
Free home office equipment with a monthly cell phone allowance.
Employer-paid parking.
Flexibility for remote work, free snacks, proximity to public transportation, social activities, state-of-the-art technology, recently renovated offices, work-life balance.

Desired Profile

Completed a university degree in Business Intelligence, Statistics, Engineering, Mathematics, or a related field.
Strong knowledge of advanced analytics methods and data science-related techniques.
Demonstrated real impacts in your past experiences.
Comfortable with Cloud environments, especially Snowflake on AWS.
Programming skills (Python, SQL, R, or the chef's choice).
Enjoy working in a team.
Initiative-driven.
Bilingual in French and English (spoken and written).

So, are you eager to be part of the adventure? We look forward to meeting you to discuss it further!
Show less",Full-time
Industrial Affairs (IA) Data Scientist,"Toronto, Ontario, Canada",Experfy,"Opportunity Description

The Industrial Affairs data scientist has a key role in defining, executing data science solutions like, predictive models (supervised, unsupervised), data pipelines or graph-based approaches. Developed models will be integrated in existing could-based applications and deployed on a global scale. Moreover, the IA Data Scientist will drive the development of novel data products within our data platform as well as executing/evaluating the proof of concept (cf. micro apps) together with clients.

ROLE REQUIRES STRONG INTERFACES WITH:

Client's IA Data transformation leader
Digital Product Owners
ITS organization
Fit4Future change leaders
Other data scientists across the digital DS organization

Essential experience:

Master’s degree in mathematics, computer science, engineering, physics, statistics, economics, computational sciences or a related quantitative discipline and 5+ years of Data Science experience, or PhD + 3years of with relevant work & domain experience
Direct experience with any of the following techniques: advanced NLP modeling, machine learning, semi-supervised, deep learning, graph neural networks, Bayesian networks and numerical optimization
Experience deploying (micro) apps cf. Shiny or Flask
Visual analytics and/or data story telling with Power BI or other
Experience with some aspects of pharmaceutical operations, specially manufacturing
Expertise with the core data science languages (such as Python, R), and familiarity & flexibility with data systems (e.g. SQL, NoSQL, knowledge graphs)
Comfortable working in cloud and high-performance computational environments (e.g. AWS, Apache Spark)
Excellent written and verbal communication, business analysis, and consultancy skills
Experience working in an agile environment

Desirable experience:

Disciplined AI / ML development (CI / CD, Orchestration)
Experience with Tableau or Power BI
Regulatory, GxP, or similar standards
Orchestration, AWS stepfunctions, Apache Airflow or Kedro

Requirements

Data Scientist Responsibilities:

Build models, algorithms, and performance evaluation by writing highly optimized, deployable code and using state-of-the art machine learning technologies
Define and implement architectures for predictive algorithm for cloud-based manufacturing application
Industrializing solutions together with small teams (pods, scrum) in an agile way of working
Proficient at collecting and mining data from disparate data sources, and willing to dig deeper and understand the process that creates the data
Work with a data lake as well as graph databases (cf. neo4js and AWS Neptune)
Use data analysis, visualization, storytelling, and data technologies to scope, define and deliver AI-based data products to accelerate and data product deployments
Developing digital data products and pipelines for IA that scale
He/she will be able to generate work product that includes interactive visualizations, presentations, publications, web applications, predictive algorithms, and API
Document insides and architecture as well as planning using Jira/Confluence
Show less",Contract
Machine Learning Engineer (Canada - Contract),"Montreal, Quebec, Canada",Infotree Global Solutions,"Job Title: Machine Learning Engineer

Location: 100% Remote

Duration: 12 months contract on T4 (possibility of extension)

Description

About Team:
Are you fascinated by machine learning and building robust machine learning pipelines which process massive amounts of data at scale and speed to provide crucial insights to the end consumers?
This is exactly what we, the Machine Learning Engineering group.
Our mission is to partner with our Machine Learning Science counterparts to use AI/ML to collaboratively transform Companies data assets into intelligent and real-time insights to support a variety of applications which are used by 1000+ market managers, analysts, our supply partners, and our travelers.
Our work spans across a variety of datasets and ML models and across a diverse technology stack ranging from Spark, SageMaker, Airflow, DataBricks, Kubernetes, AWS and much more!
Responsibility
Design, develop, debug, and modify components of machine learning and deep learning systems and applications, including data/ETL and feature engineering pipelines.
Work collaboratively with data scientists, machine learning engineers, program and product managers in the development of assigned components.
Prototype creative solutions quickly by developing minimum viable products
Actively participate in group technology reviews to critique work of self and others.
Skills Looking
Ability to write robust code in one or more of Python, Scala and Java
Proficient in core technologies like Spark, Hadoop and Hive.
Experience in building real-time applications, preferably in Spark and streaming platforms like Kafka and Kinesis.
Good understanding of machine learning pipelines and machine learning frameworks such as TensorFlow and PyTorch.
Familiar with cloud services like AWS, Azure and workflow orchestration tools (e.g., Airflow).
Experienced in using SQL for querying data from relational tables.
Degree with strong technical focus (Computer Science, Engineering).
Required
3-5 years of experience is required
Fully remote is ok so long as it's in the US time zone. Ideally, candidate sits PST or CST, but this is not required.
Excellent analytical and problem-solving skills with an aptitude for troubleshooting issues.
Drive for continuous improvement within an agile development team.
Communicate and work with geographically distributed cross functional teams.
Candidate must complete Glider assessment and score a minimum around 75%
Show less",Contract
Machine Learning Engineer,"Toronto, Ontario, Canada",Morgan McKinley,"Job Description

The perfect opportunity to enhance your Machine Learning skills and make an impact in a growing business in the financial services industry!

Our client, an ambitious and growing company in the financial services space is looking for a Machine Learning Engineer.

In this role, you will be working alongside a talented team of tech-enthusiasts and will be making an impact creating a top-notch technical environment.

Technical Requirements

Extensive experience in NLP
Mastery in Python and hands-on experience with NLP libraries e.g., SpaCy, NLTK, and Hugging Face's Transformers.
5+ years of experience in Machine Learning frameworks such as TensorFlow, PyTorch, MXNet, scikit-learn
Experience Experience in LLM (e.g., Llama2 and PaLM2) is expected, vector DB and reinforcement
Proficiency in using tools for end-to-end machine learning lifecycle, ranging from model development to deployment, in cloud environments like Google Cloud Platform (preferred), AWS, or Azure.

Role Requirements

Lead pioneering research at the intersection of NLP, Document Understanding, and Vision. Champion the integration of textual and visual models to drive a deeper comprehension of documents.
Design and implement solutions that merge language models with vision systems, such as LayoutLM/Nougat, to analyze and interpret documents with both textual and layout information.
Engineer robust NLP pipelines that seamlessly incorporate vision components, spanning tokenization, embedding, model training, and deployment.
Create sophisticated algorithms adept at understanding, parsing, and gleaning insights from documents with complex layouts and varied structures.
Stay at the cutting edge of both NLP and Vision. Engage in academic discussions, contribute to research publications, and bring fresh perspectives in document analysis.

Morgan McKinley encourages applications from all qualified candidates who represent the full diversity of communities in Canada. We welcome and encourage applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process. Alternative format available upon request.
Show less",Full-time
Machine Learning Scientist,"Ontario, Canada",ChainML,"About ChainML

ChainML is a startup founded by a team of experienced tech executives and machine learning experts. We’re building Council - an open-source Agent-based framework that simplifies the integration and amplifies the utility of state-of-the-art generative AI models like GPT-4 and Llama-2 into business applications.

About The Role

At ChainML, Machine Learning Scientists are responsible for developing and integrating state-of-the-art techniques for leveraging large language models (LLMs) and other foundation models in Council. We are particularly interested in advanced control flow mechanisms as well as techniques for planning, evaluation and measurably improving response quality, safety, and fairness in deployments. ML Scientists also prepare high-quality demos, reference solutions, documentation, tutorials, technical papers, research articles, and other supporting materials for Council.

As a Research Team member, you will collaborate closely with our Engineering team. You will make regular contributions to our open-source repositories. You will also occasionally collaborate and participate in calls with our customer-facing teams (Product, Education & Services) to help deliver required functionality for customer-specific deployments, but customer solutioning is not the focus of this role.

ML Scientist Profile

While the following is what we imagine to be an ideal candidate profile, we welcome applications from any qualified candidate. We value adjacent experience and transferable skills.

Technical

You have formal, graduate level training in computer science, mathematics, software engineering or a related discipline.
You have expert-level Python skills.
You have professional software development experience related to AI, ML, or data science with strong knowledge of related frameworks (e.g. transformers, PyTorch, scikit-learn, Pandas).
You are highly literate in the AI research space. You regularly read research papers and other technical publications as part of your work.
You are excited about building frameworks and applications on top of foundation models including proprietary models like GPT-4 and more open models like Llama 2.
You are passionate about the measurable impact of your work, and you are equally excited about publishing code and supporting material.
You have recent experience developing, training, and fine-tuning deep learning models.
You have experience with reinforcement learning and/or complex search techniques.
You have research interest and expertise in AI safety and fairness.

Other

You have excellent communication skills including professional level English language skills.
You are excited to meaningfully engage with user communities via diverse platforms.
You are comfortable working in a startup environment where shifting focus is necessary from time to time.
You are comfortable and productive in a primarily work-from-home environment.
You reach out to peers and managers proactively when you need assistance or to share ideas.
You are confidently creative and excited to share your ideas.

Core Responsibilities

Research and adopt state-of-the-art techniques for improving the utility of LLMs in practice, including via the coordination of LLM-based agents.
Develop demos, prototypes, reference solutions, and supporting material that highlight Council’s core capabilities.
Research, design, adopt, and implement techniques for improving LLM output quality, debiasing, reliability, and safety (including techniques for scalable oversight).
Research, design, adopt, and implement techniques for improved control flow, planning, decision making, chaining, and delegation.
Review, distill, and present emerging concepts in the generative AI literature.
Suggest framework improvements and new features based on emerging techniques, user requests, and your own experience building with Council.
Design and implement solutions for ML or data science user or customer use cases as needed (e.g. implementing predictive modeling skills for Council agents).
Contribute to the design and implementation of robust evaluation and quality assurance mechanisms.
Contribute to technical and non-technical writing about responsible AI deployment for business use cases
Collaborate with customer-facing teams as-needed to develop new capabilities or advanced technical solutions
Collaborate with Engineering to make production-quality code contributions to the open source Council framework
Prepare and deliver talks, technical workshops, and tutorials at community events
Develop and deliver other supporting content, like demo videos, code-along sessions, and live virtual events.

Benefits
Opportunity to influence an early stage startup in the Generative AI space
Great career development opportunities at a fast growing company
Competitive compensation including share of equity
Extended health plan including vision, dental, prescriptions, and paramedicals
Time off for employees based in Ontario
3 weeks vacation (15 days)
3 floating holidays (3 days)
Annual company holiday between Christmas and New Year’s Day (incl. Christmas Day, Boxing Day, and New Year’s Day)
All other Ontario statutory holidays (7 days)
Paid sick days (3 days)
Company pays for the costs of working remotely, including equipment and internet connectivity (as needed)
All-expenses paid for (tentative) bi-annual team meetups
Show less",Full-time
Junior Developer Trainee,"Vancouver, British Columbia, Canada",Vancouver Airport Authority,"YVR is a place of connection, bringing together people, places and cargo while ensuring a safe and efficient experience for everyone. As part of our Innovation and Technology Group, your work will help deliver industry-leading travel technology to transform the passenger experience. From strategic planning to project execution, the work you do matters and will help improve our processes to make our airport work better for our communities.

Position Overview

We have a permanent, full-time opportunity for a Junior Developer Trainee. Reporting to the Manager, Software Development, the successful candidate will provide software development support to the Innovation Team for the development and sustainment of the YVR Digital Twin and other in-house developed technologies. Additional software development training will be provided on the job so that the successful candidate may progress to additional software development opportunities within YVR.

Key Responsibilities Include

Assist with digital asset creation, data integration, and software maintenance.
Debug software related issues including minor defects in existing features, problematic areas with visual effects, or cosmetic styling.
Work with our Musqueam colleagues to support the development of digital twin use cases that showcase Musqueam culture, language, and history.

Key Qualifications Include

Completion of a high school diploma or GED equivalent (some post-secondary education would be an asset).
Experience in Unity3D development and C# scripting, with experience in interactive applications and virtual environments.
Ability to work effectively in a team environment and communicate technical concepts to both technical and non-technical stakeholders.
Strong problem-solving skills and a keen eye for detail to deliver high-quality results.
Passion for emerging technologies and a drive to stay up to date with the latest developments in Unity, digital twin, and gaming technologies.
Preference given to Musqueam Band members.

This position is open to both Vancouver Airport Authority employees and external applicants. Previous job performance will be taken into consideration for all internal candidates that apply for this position.

As part of our recruitment process, short-listed candidates may be required to participate in an assessment process.

Who We Are

YVR is more than just an airport. We connect our beautiful province and all it has to offer to the world. We are all leaders and trailblazers for change and innovation, so no matter the department or team you’re a part of, the work you do matters.

At YVR, we are flexible in everything we do. We will work together to find ways to deliver customer excellence that helps us all thrive. We strive to provide an environment that reflects the diversity of our communities, allowing us to better serve them.

Whatever your background and wherever you’re from, you belong at YVR. We want to make sure you truly belong and help you reach your full potential. If you have any questions about accessibility or require any assistance applying, please reach out at careers@yvr.ca.

Join us on this journey as we continue to transform our airport to better serve our communities.
Show less",Full-time
Machine Learning Engineer,"Vancouver, British Columbia, Canada",MobSquad,"About Mobsquad

We are a well-funded, hyper-growth, scale-up looking for an experienced Machine Learning Engineer. If you've ever dreamed of working with a top tier technology company scale-up, on leading edge technologies, backed by the very best venture capitalists in the world, then this is your chance.

Some details about MobSquad:

MobSquad solves the significant and growing technology talent shortage faced by US-based start-ups and scale-ups by enabling its clients to quickly have a turnkey ""virtual"" Canadian subsidiary. MobSquad ensures technology professionals with US work visa challenges remain working with their current company, but nearshore from Canada. This is accomplished via MobSquad's unique partnership with the Canadian Government, enabling work visas to be issued for technology professionals and their respective families within four to six weeks, and Canadian permanent residency within six to eight months. Additionally, MobSquad has unfettered access to top-tier global technology talent which it relocates to Canada and pairs with American as well as Canadian clients on an exclusive, long-term basis, helping firms not only retain their existing world-class technology talent base, but grow it substantially.
We're a Certified B corporation, and have made numerous contributions to charitable organizations, as well as a financial commitment to the Upside Foundation. We believe we are playing a key role in enhancing Canada's innovation economy, and have received financial support from the Government of Canada, Province of Alberta, Province of Nova Scotia, and City of Calgary, to support this ambition.
For our workplace culture, we were recognized as the 3rd best place to work in Canada (for a small company) in 2020, as well as recognized specifically for being one of the best workplaces nationally for: inclusion; mental wellness; giving back; youth; and technology. We were also recognized as one of the best start-ups to work for across Canada.
For our innovative business model, we have been featured in numerous media outlets including: Asian Pacific Post; BetaKit; Bloomberg; CBC; Global News; Gothamist; International Business Times; MIT Technology Review; Nearshore Americas; Nikkei Asian Review; NPR; The Economic Times of India; The Financial Times; The Globe and Mail; The Information; The New York Times; and The Washington Post.
Harvard Business School published a case study on MobSquad last fall, and Harvard Business Review featured us multiple times in an article that appeared on the cover of their November/December 2020 edition.
You can learn more about us on our website.

About The Role

As a Machine Learning Engineer, you will be part of a Canada-based team working remotely with a leading US scale-up. Your team will operate alongside many other talented developers and data scientists in Canada, and you will be an integral part of the tech community that MobSquad has built.

This role requires someone who has demonstrated an ability to use data to train models which can be used to automate processes such as image classification, speech recognition, and forecasting. The ideal candidate has deployed or attempted to execute Artificial Intelligence theories from various Machine Learning (ML) models and algorithms, and they also have familiarity with data science engineering. The candidate should be able to apply their analytical skills to develop large-scale ML models that reveal the value in data. They are able to understand business objectives from a broader team and build customized models and processes to enable delivery of the business objectives.

About You

You have an advanced degree (M.S. or PhD) in Computer Science, Engineering, Mathematics, Physics, or a comparable analytical field from an accredited institution
You have over five years of experience working with deep learning frameworks (TensorFlow, Keras)
You have over five years of experience with relevant languages (Python, Java) and libraries (scikit-learn, Pandas)
You have over five years of experience developing unique algorithms
You have strong experience creating and deploying machine learning models
You have demonstrated knowledge of relevant libraries and operating systems (OpenCV, Linux)
You have knowledge of SQL (MySQL, PostgreSQL) and NoSQL (MongoDB, Cassandra, HBase) databases
You have strong attention to detail, translating to strength in data quality verification to enable clean data at all times
You have work/project history reflective of a self-motivated professional who excels when given open-ended problems and broadly-defined goals, having an innate desire to build models and algorithms that reveal the patterns and relationships in data that can be leveraged to provide business value

WHAT YOU'LL GET @MOBSQUAD

A full-time position that offers competitive compensation
A benefits program delivered through our bespoke digital platform, giving you control, choice, and flexibility. We give you the ability to build your package of benefits covering health (e.g., medical, dental, vision), wellness (e.g., gym, workout gear, massage, transit), and RRSP (retirement savings)
A downtown office location with first-rate amenities, surrounded by great restaurants and easily-accessible transit
For international candidates, sponsorship for an immediate work permit, expedited permanent residency, and Canadian citizenship within four years

At MobSquad, we support and encourage building a work environment that is diverse, inclusive, and safe for all. We invite and welcome applicants of all backgrounds, regardless of race, religion, sexual orientation, gender identity, national origin, or disability.
Show less",Full-time
Research scientist (autonomous Driving),"Markham, Ontario, Canada",IntelliPro,"We are working with a market-leading technology provider looking for a Resedarch assistant in Canada-

Duties

Develop cutting-edge reinforcement learning and deep learning algorithms for behavioural planning, motion planning, and motion control.

Guide the development of solutions from prototyping to production and integration, including training on simulated environments or large-scale datasets, deploying on real-time robotic platforms, and testing and validating on self-driving vehicles.Research on reinforcement learning, literature review, and publication.Design, build and maintain large-scale production machine learning pipeline.

Work closely with experienced researchers to participate in the design, implementation and deployment of state-of-the-art perception algorithms and processing modules.Iterative algorithm training and performance evaluation using publicly available datasets, Huawei’s own labelled datasets, and live on an autonomous vehicle.

Building perception software systems for autonomous driving. Such systems include 3D object detection, semantic/panoptic segmentation, classification, regression, prediction and localization, as well as 3D scene understanding, and sensor fusion and tracking, using both deep learning and classical machine learning techniques and multiple sensors such as LiDAR and camera sensors.

Job Requirements

What you'll bring to the team:
Experience in relevant areas, publication records at top venues like NIPS/NeurIPS, ICML, ICLR, RLDM, AAMAS, AAAI or similar.
At least 10 years of in-depth hands-on working experience in Python, C/C++, TensorFlow, PyTorch, MXNet, Keras, etc.
Proven experience of translating ideas into research prototypes quickly.
Autonomous driving R&D experience. Leadership or management experience with a R&D team for proof of concept deliveries.
Strong grasp of fundamentals like linear algebra, discrete and continuous optimization, supervised and unsupervised methods, and generative and discriminative methods.
Show less",Full-time
AI Developer,"Québec, Quebec, Canada",Levio,"Menya is the artificial intelligence division of Levio Conseils. We help our partners use artificial intelligence integrated with other tools in their digital transformation. Our clients include prestigious organizations and companies such as Defence Canada, the Canadian Space Agency, MDA, Ciena, Desjardins, Morgan Stanley and many others. Among others, thanks to a contract from MDA and the Canadian Space Agency, Menya is developing the artificial intelligence for the next generation of the Canadian robotic arm (Canadarm3) that will be deployed on a station around the moon (Lunar Gateway). Our AI partners include Microsoft, AWS Amazon, and Google. Our service includes deploying and integrating their AI technologies to help our clients. We also develop our own technologies to be deployed at our customers' sites in a complete package ranging from consulting services, custom application development, integration of existing AI technologies and licensing of our technologies.

We are looking for AI developers to join our teams in various projects.

Role

As an AI Developer, this person will:

Design and develop AI models to meet project requirements
Convert AI/ML models into APIs that other developers can use
Perform statistical analysis on big data sets
Manage project infrastructure and the development of AI models and projects
Work with other machine learning engineers, data engineers, and AI engineers to develop machine learning models

Requirements

PhD or MSc in artificial intelligence
4+ years experience developing AI models
Familiarity with deep learning and machine learning algorithms and the use of popular AI/ML frameworks (Tensorflow/Keras, PyTorch, scikit-learn)
Advanced knowledge of statistical and algorithmic models as well as of fundamental mathematical concepts, such as linear algebra and probability
Experience working with large data sets and writing efficient code capable of processing large data streams at speed
Mastery of Python
Excellent communication skills

Any of the following is advantageous (if no prior experience, must be willing to quickly learn and adapt):

Mastery of image analysis algorithms and frameworks
Experience with AI-Based visual inspection
Mastery of AI-based video-analysis deep learning architectures
Experience with deep learning architectures for sequence data (transformers, RNN, etc.)
Experience with graph neural networks
AI Certifications
GitHub, JIRA, Azure DevOps, TFS
Cloud deployment (Docker, Cloud Foundry, Kubernetes, or Factor App)
Show less",Full-time
